Time (s), Displacement U1 (m)
0.0, 0.0
1.0, 4.70870220098828e-36
0.0, 4.70870220098828e-36
1.0, -7.84300024249971e-39
2.0, 7.84294419056114e-39
0.0, 7.84294419056114e-39
1.0, 5.88545355016423e-44
3.0, 9.10844001811131e-44
0.0, 9.10844001811131e-44
1.0, -0.000266523798927665
0.0, -0.000266523798927665
1.0, -0.00026665601762943
3600.0, -0.000342274113791063
7200.0, -0.000369784364011139
14400.0, -0.000406139646656811
28800.0, -0.000446224759798497
57600.0, -0.000503489573020488
86400.0, -0.000538208289071918
172800.0, -0.000615589320659637
0.0, -0.000615589320659637
1.0, -0.000615628610830754
0.0, -0.000615628610830754
1.0, -0.000615629425738007
3600.0, -0.000618425314314663
7200.0, -0.000621192215476185
14400.0, -0.000626482476945966
28800.0, -0.000636778597254306
57600.0, -0.000655359297525138
86400.0, -0.00067395344376564
172800.0, -0.000716390553861856
345600.0, -0.000792586884927005
691200.0, -0.000904156360775232
1382400.0, -0.00106762629002333
2764800.0, -0.0013025508960709
5529600.0, -0.00164706900250167
11059200.0, -0.00216364301741123
22118400.0, -0.00298364949412644
31536000.0, -0.00357284233905375
63072000.0, -0.00530286366119981
126144000.0, -0.00823384709656239
252288000.0, -0.0132433762773871
504576000.0, -0.0147975943982601
946080000.0, -0.0148113435134292
