Time (s), Avg_Closure_U1 (m)
0.0, 0.0
1.0, -9.3798915156294e-29
0.0, -9.3798915156294e-29
1.0, -9.3798915156294e-29
2.0, -9.3798915156294e-29
0.0, -9.3798915156294e-29
1.0, -9.3798915156294e-29
3.0, -9.3798915156294e-29
0.0, -9.3798915156294e-29
1.0, -0.000147813174407929
0.0, -0.000147813174407929
1.0, -0.000147830913192593
3600.0, -0.000161389558343217
7200.0, -0.000166617159266025
14400.0, -0.000173597116372548
28800.0, -0.000182481511728838
57600.0, -0.000193184838281013
86400.0, -0.000201378803467378
172800.0, -0.000217698587221093
0.0, -0.000217698587221093
1.0, -0.000217698601773009
0.0, -0.000217698601773009
1.0, -0.000217698747292161
3600.0, -0.000218270099139772
7200.0, -0.000218835557461716
14400.0, -0.000219917303184047
28800.0, -0.000222020462388173
57600.0, -0.000225822659558617
86400.0, -0.000229627097724006
172800.0, -0.000238293723668903
345600.0, -0.000253839796641842
691200.0, -0.000276459468295798
1382400.0, -0.000309268478304148
2764800.0, -0.000356000440660864
5529600.0, -0.00042412118637003
11059200.0, -0.000524532573763281
22118400.0, -0.000679483404383063
31536000.0, -0.000792637525591999
63072000.0, -0.00111796171404421
126144000.0, -0.00166602421086282
252288000.0, -0.00259803445078433
504576000.0, -0.00359756732359529
946080000.0, -0.00429268460720778
