Time (s), Node Label, Z Position (m), U1 Displacement (m)
0.0,2,-3600.0,0.0
0.0,3,-4100.0,0.0
0.0,6,-2500.0,0.0
0.0,35,-3601.0,0.0
0.0,36,-3602.03662109375,0.0
0.0,37,-3603.111083984375,0.0
0.0,38,-3604.224853515625,0.0
0.0,39,-3605.37939453125,0.0
0.0,40,-3606.575927734375,0.0
0.0,41,-3607.81640625,0.0
0.0,42,-3609.102294921875,0.0
0.0,43,-3610.43505859375,0.0
0.0,44,-3611.816650390625,0.0
0.0,45,-3613.248779296875,0.0
0.0,46,-3614.7333984375,0.0
0.0,47,-3616.272216796875,0.0
0.0,48,-3617.8671875,0.0
0.0,49,-3619.5205078125,0.0
0.0,50,-3621.234375,0.0
0.0,51,-3623.0107421875,0.0
0.0,52,-3624.852294921875,0.0
0.0,53,-3626.760986328125,0.0
0.0,54,-3628.73974609375,0.0
0.0,55,-3630.79052734375,0.0
0.0,56,-3632.91650390625,0.0
0.0,57,-3635.1201171875,0.0
0.0,58,-3637.404541015625,0.0
0.0,59,-3639.772216796875,0.0
0.0,60,-3642.2265625,0.0
0.0,61,-3644.770751953125,0.0
0.0,62,-3647.407958984375,0.0
0.0,63,-3650.1416015625,0.0
0.0,64,-3652.97509765625,0.0
0.0,65,-3655.912353515625,0.0
0.0,66,-3658.956787109375,0.0
0.0,67,-3662.11279296875,0.0
0.0,68,-3665.384033203125,0.0
0.0,69,-3668.775146484375,0.0
0.0,70,-3672.2900390625,0.0
0.0,71,-3675.93359375,0.0
0.0,72,-3679.710205078125,0.0
0.0,73,-3683.625,0.0
0.0,74,-3687.68310546875,0.0
0.0,75,-3691.889404296875,0.0
0.0,76,-3696.24951171875,0.0
0.0,77,-3700.769287109375,0.0
0.0,78,-3705.4541015625,0.0
0.0,79,-3710.310302734375,0.0
0.0,80,-3715.34423828125,0.0
0.0,81,-3720.56201171875,0.0
0.0,82,-3725.970703125,0.0
0.0,83,-3731.5771484375,0.0
0.0,84,-3737.388671875,0.0
0.0,85,-3743.41259765625,0.0
0.0,86,-3749.656982421875,0.0
0.0,87,-3756.12939453125,0.0
0.0,88,-3762.8388671875,0.0
0.0,89,-3769.79345703125,0.0
0.0,90,-3777.00244140625,0.0
0.0,91,-3784.47509765625,0.0
0.0,92,-3792.220703125,0.0
0.0,93,-3800.25,0.0
0.0,94,-3808.572509765625,0.0
0.0,95,-3817.19970703125,0.0
0.0,96,-3826.14208984375,0.0
0.0,97,-3835.41162109375,0.0
0.0,98,-3845.02001953125,0.0
0.0,99,-3854.97998046875,0.0
0.0,100,-3864.58837890625,0.0
0.0,101,-3873.85791015625,0.0
0.0,102,-3882.80029296875,0.0
0.0,103,-3891.427490234375,0.0
0.0,104,-3899.75,0.0
0.0,105,-3907.779296875,0.0
0.0,106,-3915.52490234375,0.0
0.0,107,-3922.99755859375,0.0
0.0,108,-3930.20654296875,0.0
0.0,109,-3937.1611328125,0.0
0.0,110,-3943.87060546875,0.0
0.0,111,-3950.343017578125,0.0
0.0,112,-3956.58740234375,0.0
0.0,113,-3962.611328125,0.0
0.0,114,-3968.4228515625,0.0
0.0,115,-3974.029296875,0.0
0.0,116,-3979.43798828125,0.0
0.0,117,-3984.65576171875,0.0
0.0,118,-3989.689697265625,0.0
0.0,119,-3994.5458984375,0.0
0.0,120,-3999.230712890625,0.0
0.0,121,-4003.75048828125,0.0
0.0,122,-4008.110595703125,0.0
0.0,123,-4012.31689453125,0.0
0.0,124,-4016.375,0.0
0.0,125,-4020.289794921875,0.0
0.0,126,-4024.06640625,0.0
0.0,127,-4027.7099609375,0.0
0.0,128,-4031.224853515625,0.0
0.0,129,-4034.615966796875,0.0
0.0,130,-4037.88720703125,0.0
0.0,131,-4041.043212890625,0.0
0.0,132,-4044.087646484375,0.0
0.0,133,-4047.02490234375,0.0
0.0,134,-4049.8583984375,0.0
0.0,135,-4052.592041015625,0.0
0.0,136,-4055.229248046875,0.0
0.0,137,-4057.7734375,0.0
0.0,138,-4060.227783203125,0.0
0.0,139,-4062.595458984375,0.0
0.0,140,-4064.8798828125,0.0
0.0,141,-4067.08349609375,0.0
0.0,142,-4069.20947265625,0.0
0.0,143,-4071.26025390625,0.0
0.0,144,-4073.239013671875,0.0
0.0,145,-4075.147705078125,0.0
0.0,146,-4076.9892578125,0.0
0.0,147,-4078.765625,0.0
0.0,148,-4080.4794921875,0.0
0.0,149,-4082.1328125,0.0
0.0,150,-4083.727783203125,0.0
0.0,151,-4085.2666015625,0.0
0.0,152,-4086.751220703125,0.0
0.0,153,-4088.183349609375,0.0
0.0,154,-4089.56494140625,0.0
0.0,155,-4090.897705078125,0.0
0.0,156,-4092.18359375,0.0
0.0,157,-4093.424072265625,0.0
0.0,158,-4094.62060546875,0.0
0.0,159,-4095.775146484375,0.0
0.0,160,-4096.88916015625,0.0
0.0,161,-4097.96337890625,0.0
0.0,162,-4099.0,0.0
0.0,626,-2501.0,0.0
0.0,627,-2502.016845703125,0.0
0.0,628,-2503.050537109375,0.0
0.0,629,-2504.1015625,0.0
0.0,630,-2505.170166015625,0.0
0.0,631,-2506.256591796875,0.0
0.0,632,-2507.361328125,0.0
0.0,633,-2508.484375,0.0
0.0,634,-2509.626220703125,0.0
0.0,635,-2510.787353515625,0.0
0.0,636,-2511.9677734375,0.0
0.0,637,-2513.16796875,0.0
0.0,638,-2514.38818359375,0.0
0.0,639,-2515.62890625,0.0
0.0,640,-2516.89013671875,0.0
0.0,641,-2518.1728515625,0.0
0.0,642,-2519.476806640625,0.0
0.0,643,-2520.802490234375,0.0
0.0,644,-2522.150390625,0.0
0.0,645,-2523.52099609375,0.0
0.0,646,-2524.914306640625,0.0
0.0,647,-2526.3310546875,0.0
0.0,648,-2527.771484375,0.0
0.0,649,-2529.236083984375,0.0
0.0,650,-2530.72509765625,0.0
0.0,651,-2532.239013671875,0.0
0.0,652,-2533.7783203125,0.0
0.0,653,-2535.34326171875,0.0
0.0,654,-2536.934326171875,0.0
0.0,655,-2538.55224609375,0.0
0.0,656,-2540.197021484375,0.0
0.0,657,-2541.869384765625,0.0
0.0,658,-2543.56982421875,0.0
0.0,659,-2545.298583984375,0.0
0.0,660,-2547.05615234375,0.0
0.0,661,-2548.84326171875,0.0
0.0,662,-2550.66015625,0.0
0.0,663,-2552.507568359375,0.0
0.0,664,-2554.385986328125,0.0
0.0,665,-2556.295654296875,0.0
0.0,666,-2558.2373046875,0.0
0.0,667,-2560.21142578125,0.0
0.0,668,-2562.218505859375,0.0
0.0,669,-2564.259033203125,0.0
0.0,670,-2566.333984375,0.0
0.0,671,-2568.443603515625,0.0
0.0,672,-2570.58837890625,0.0
0.0,673,-2572.76904296875,0.0
0.0,674,-2574.986083984375,0.0
0.0,675,-2577.240478515625,0.0
0.0,676,-2579.532470703125,0.0
0.0,677,-2581.86279296875,0.0
0.0,678,-2584.23193359375,0.0
0.0,679,-2586.640869140625,0.0
0.0,680,-2589.090087890625,0.0
0.0,681,-2591.580322265625,0.0
0.0,682,-2594.112060546875,0.0
0.0,683,-2596.686279296875,0.0
0.0,684,-2599.303466796875,0.0
0.0,685,-2601.964599609375,0.0
0.0,686,-2604.670166015625,0.0
0.0,687,-2607.4208984375,0.0
0.0,688,-2610.217529296875,0.0
0.0,689,-2613.061279296875,0.0
0.0,690,-2615.952392578125,0.0
0.0,691,-2618.891845703125,0.0
0.0,692,-2621.88037109375,0.0
0.0,693,-2624.9189453125,0.0
0.0,694,-2628.008544921875,0.0
