Time (s), Node Label, Z Position (m), NT (K)
0.0,2,-3600.0,311.20599365234375
0.0,3,-4100.0,321.8609924316406
0.0,6,-2500.0,287.8139953613281
0.0,37,-3601.0,311.22698974609375
0.0,38,-3602.03662109375,311.2489929199219
0.0,39,-3603.111083984375,311.2720031738281
0.0,40,-3604.224853515625,311.2959899902344
0.0,41,-3605.37939453125,311.32000732421875
0.0,42,-3606.575927734375,311.34600830078125
0.0,43,-3607.81640625,311.37200927734375
0.0,44,-3609.102294921875,311.3999938964844
0.0,45,-3610.43505859375,311.4280090332031
0.0,46,-3611.816650390625,311.4580078125
0.0,47,-3613.248779296875,311.4880065917969
0.0,48,-3614.7333984375,311.5199890136719
0.0,49,-3616.272216796875,311.552001953125
0.0,50,-3617.8671875,311.58599853515625
0.0,51,-3619.5205078125,311.62200927734375
0.0,52,-3621.234375,311.6579895019531
0.0,53,-3623.0107421875,311.6960144042969
0.0,54,-3624.852294921875,311.7349853515625
0.0,55,-3626.760986328125,311.7760009765625
0.0,56,-3628.73974609375,311.8179931640625
0.0,57,-3630.79052734375,311.86199951171875
0.0,58,-3632.91650390625,311.9070129394531
0.0,59,-3635.1201171875,311.9540100097656
0.0,60,-3637.404541015625,312.00299072265625
0.0,61,-3639.772216796875,312.0530090332031
0.0,62,-3642.2265625,312.1059875488281
0.0,63,-3644.770751953125,312.1600036621094
0.0,64,-3647.407958984375,312.21600341796875
0.0,65,-3650.1416015625,312.27398681640625
0.0,66,-3652.97509765625,312.3349914550781
0.0,67,-3655.912353515625,312.3970031738281
0.0,68,-3658.956787109375,312.4620056152344
0.0,69,-3662.11279296875,312.52899169921875
0.0,70,-3665.384033203125,312.5989990234375
0.0,71,-3668.775146484375,312.6709899902344
0.0,72,-3672.2900390625,312.7460021972656
0.0,73,-3675.93359375,312.8240051269531
0.0,74,-3679.710205078125,312.90399169921875
0.0,75,-3683.625,312.9880065917969
0.0,76,-3687.68310546875,313.0740051269531
0.0,77,-3691.889404296875,313.16400146484375
0.0,78,-3696.24951171875,313.2569885253906
0.0,79,-3700.769287109375,313.3529968261719
0.0,80,-3705.4541015625,313.4530029296875
0.0,81,-3710.310302734375,313.5570068359375
0.0,82,-3715.34423828125,313.66400146484375
0.0,83,-3720.56201171875,313.7749938964844
0.0,84,-3725.970703125,313.8900146484375
0.0,85,-3731.5771484375,314.010009765625
0.0,86,-3737.388671875,314.1340026855469
0.0,87,-3743.41259765625,314.2619934082031
0.0,88,-3749.656982421875,314.3949890136719
0.0,89,-3756.12939453125,314.5329895019531
0.0,90,-3762.8388671875,314.6759948730469
0.0,91,-3769.79345703125,314.8240051269531
0.0,92,-3777.00244140625,314.9779968261719
0.0,93,-3784.47509765625,315.1369934082031
0.0,94,-3792.220703125,315.302001953125
0.0,95,-3800.25,315.4729919433594
0.0,96,-3808.572509765625,315.6510009765625
0.0,97,-3817.19970703125,315.8340148925781
0.0,98,-3826.14208984375,316.0249938964844
0.0,99,-3835.41162109375,316.2229919433594
0.0,100,-3845.02001953125,316.427001953125
0.0,101,-3854.97998046875,316.6400146484375
0.0,102,-3864.58837890625,316.843994140625
0.0,103,-3873.85791015625,317.0419921875
0.0,104,-3882.80029296875,317.23199462890625
0.0,105,-3891.427490234375,317.4159851074219
0.0,106,-3899.75,317.593994140625
0.0,107,-3907.779296875,317.7650146484375
0.0,108,-3915.52490234375,317.92999267578125
0.0,109,-3922.99755859375,318.0889892578125
0.0,110,-3930.20654296875,318.2430114746094
0.0,111,-3937.1611328125,318.3909912109375
0.0,112,-3943.87060546875,318.53399658203125
0.0,113,-3950.343017578125,318.6719970703125
0.0,114,-3956.58740234375,318.80499267578125
0.0,115,-3962.611328125,318.9330139160156
0.0,116,-3968.4228515625,319.0570068359375
0.0,117,-3974.029296875,319.177001953125
0.0,118,-3979.43798828125,319.2919921875
0.0,119,-3984.65576171875,319.40301513671875
0.0,120,-3989.689697265625,319.510009765625
0.0,121,-3994.5458984375,319.614013671875
0.0,122,-3999.230712890625,319.7139892578125
0.0,123,-4003.75048828125,319.80999755859375
0.0,124,-4008.110595703125,319.90301513671875
0.0,125,-4012.31689453125,319.9930114746094
0.0,126,-4016.375,320.0790100097656
0.0,127,-4020.289794921875,320.1629943847656
0.0,128,-4024.06640625,320.2430114746094
0.0,129,-4027.7099609375,320.3210144042969
0.0,130,-4031.224853515625,320.39599609375
0.0,131,-4034.615966796875,320.4679870605469
